University of Illinois System - Investment Office,,,,,
Security Inventory,,,,,
By Fund Group,,,,,
"June 30, 2022",,,,,
,,,,,
,,Maturity,,,
KANSAS CITY SOUTHN 3.0% DUE,3.00,05/15/23,"780,000.00","795,771.60","777,515.18"
KINDER MORGAN ENERGY PARTNERS ,3.45,02/15/23,"780,000.00","821,519.40","780,790.36"
KLA CORP 4.65% DUE 11-01-2024/,4.65,11/01/24,"599,000.00","649,831.14","607,552.32"
LLOYDS BKG GROUP PLC 3.9%,3.90,03/12/24,"527,000.00","576,032.08","523,826.04"
MARRIOTT INTL INC NEW 2.125% D,2.13,10/03/22,"480,000.00","479,001.60","478,660.76"
MORGAN STANLEY 0.529% DUE 01-2,0.53,01/25/24,"1,091,000.00","1,091,000.00","1,069,460.88"
MORGAN STANLEY 1.593% DUE 05-0,1.59,05/04/27,"655,000.00","655,000.00","581,416.79"
MORGAN STANLEY SR NT FXD/FLTG ,2.63,02/18/26,"975,000.00","975,000.00","930,189.20"
NATWEST MKTS PLC 2.375% DUE 05,2.38,05/21/23,"704,000.00","701,754.24","694,009.68"
NATWEST MKTS PLC US MEDIUM TER,3.63,09/29/22,"770,000.00","787,306.30","770,862.56"
NUTRIEN LTD 1.9% DUE 05-13-202,1.90,05/13/23,"1,359,000.00","1,357,776.90","1,337,252.51"
NXP B V / NXP FDG LLC / NXP US,3.88,06/18/26,"1,016,000.00","1,001,826.80","978,611.17"
ORACLE CORP 2.5% DUE 04-01-202,2.50,04/01/25,"1,057,000.00","1,071,628.88","1,004,273.58"
PEPSICO INC 0.4% DUE 10-07-202,0.40,10/07/23,"502,000.00","501,713.86","486,971.27"
PG&E WILDFIRE RECOVERY FDG LLC,3.59,06/01/32,"771,000.00","770,984.19","765,020.39"
PUBLIC SVC ELEC GAS CO SECD ,3.00,05/15/25,"1,056,000.00","1,043,824.32","1,034,559.54"
PVPTL EQUITABLE FINL LIFE GLOB,1.10,11/12/24,"873,000.00","872,869.05","817,066.89"
PVTPL 7-ELEVEN INC SR NT .625%,0.63,02/10/23,"655,000.00","654,456.35","642,277.23"
PVTPL BAE SYS HLDGS INC GTD NT,3.80,10/07/24,"966,000.00","1,007,751.28","956,398.05"
PVTPL BMW US CAP LLC FLTG RT ,3.25,04/01/25,"954,000.00","953,103.24","942,358.01"
PVTPL DAIMLER FIN NORTH AMER L,1.75,03/10/23,"823,000.00","821,469.22","813,155.37"
PVTPL DOMINION ENERGY INC 2.45,2.45,01/15/23,"500,000.00","502,980.00","496,946.95"
PVTPL HYUNDAI CAP AMER MEDIUM ,2.38,02/10/23,"600,000.00","599,742.00","592,300.01"
PVTPL KIA CORP 2.375% 02-14-20,2.38,02/14/25,"713,000.00","711,131.94","681,950.37"
PVTPL MACQUARIE GROUP LTD SR 4,4.15,03/27/24,"597,000.00","641,048.20","597,175.25"
PVTPL MACQUARIE GROUP LTD SR M,3.19,11/28/23,"780,000.00","804,094.20","778,165.23"
PVTPL MASSMUTUAL GLOBAL FDG II,0.85,06/09/23,"1,600,000.00","1,599,056.00","1,563,195.63"
PVTPL METROPOLITAN LIFE GLOBAL,0.90,06/08/23,"500,000.00","504,295.00","489,368.64"
PVTPL NESTLE HLDGS INC .606%,0.61,09/14/24,"1,094,000.00","1,094,000.00","1,032,559.70"
PVTPL NEW YORK LIFE GLOBAL FDG,1.10,05/05/23,"2,131,000.00","2,130,552.49","2,089,012.89"
PVTPL NORTHWESTERN MUT GLOBAL ,0.00,07/01/25,"1,034,000.00","1,033,648.44","1,039,381.34"
PVTPL PACIFIC LIFE GLOBAL FDG ,0.50,09/23/23,"2,175,000.00","2,172,281.25","2,100,637.10"
PVTPL PENSKE TRUCK LEASING CO ,1.70,06/15/26,"672,000.00","649,024.32","598,958.63"
PVTPL PROTECTIVE LIFE GLOBAL F,3.10,04/15/24,"1,529,000.00","1,654,428.79","1,510,993.87"
PVTPL SKANDINAVISKA ENSKILDA .,0.65,09/09/24,"423,000.00","422,399.34","394,340.42"
PVTPL SKANDINAVISKA ENSKILDA B,2.20,12/12/22,"650,000.00","649,831.00","647,812.24"
PVTPL USAA CAPITAL CORP 3YR NE,3.38,05/01/25,"1,345,000.00","1,340,601.85","1,333,365.63"
PVTPL VOLKSWAGEN GROUP AMER FI,2.70,09/26/22,"1,110,000.00","1,113,432.30","1,108,258.00"
PVTPL VOLKSWAGEN GROUP AMER FI,4.35,06/08/27,"580,000.00","579,588.20","568,540.77"
ROYAL BK CDA GLOBAL MEDIUM TER,0.75,10/07/24,"2,187,000.00","2,184,091.29","2,042,223.16"
ROYALTY PHARMA PLC SR NT .75%,0.75,09/02/23,"668,000.00","671,025.83","643,238.08"
RYDER SYS INC MEDIUM TERM NTS ,3.75,06/09/23,"750,000.00","791,572.50","748,097.24"
S&P GLOBAL INC 2.45% 03-01-202,2.45,03/01/27,"625,000.00","621,737.50","585,001.97"
SSM HLTH CARE CORP 3.688% DUE,3.69,06/01/23,"2,153,000.00","2,219,594.02","2,155,198.36"
TEXTRON INC 4.3% NT DUE 03-01-,4.30,03/01/24,"549,000.00","599,529.96","552,140.34"
TORONTO DOMINION BK SR MEDIUM ,1.90,12/01/22,"480,000.00","479,467.20","478,429.87"
TORONTO DOMINION BK SR MEDIUM ,0.70,09/10/24,"1,101,000.00","1,100,119.20","1,033,430.94"
TORONTO DOMINION BK SR MEDIUM ,0.55,03/04/24,"1,141,000.00","1,139,984.51","1,085,871.23"
TOYOTA MOTOR CREDIT CORP 3.95%,3.95,06/30/25,"631,000.00","630,400.55","633,263.73"
TOYOTA MTR CR CORP MEDIUM TERM,0.35,10/14/22,"837,000.00","836,255.07","834,063.35"
TRUIST BK GLOBAL BK MED TERM N,1.25,03/09/23,"989,000.00","988,307.70","975,549.41"
UBS AG LONDON BRH .45% 02-09-2,0.45,02/09/24,"1,131,000.00","1,130,129.13","1,072,211.72"
UBS AG LONDON BRH NT 144A .7%,0.70,08/09/24,"657,000.00","656,730.63","614,895.12"
UBS GROUP AG 1.008% DUE,1.01,07/30/24,"920,000.00","920,000.00","890,831.56"
VERIZON COMMUNICATIONS INC .75,0.75,03/22/24,"650,000.00","649,961.00","620,027.32"
VERIZON COMMUNICATIONS INC 3.5,3.50,11/01/24,"1,049,000.00","1,157,718.36","1,045,093.01"
WELLS FARGO & CO MEDIUM TERM S,3.75,01/24/24,"1,200,000.00","1,307,724.00","1,202,841.60"
WELLS FARGO & CO MEDIUM TERM S,1.65,06/02/24,"825,000.00","825,000.00","805,747.81"
WESTPAC BKG CORP 1.019% 11-18-,1.02,11/18/24,"665,000.00","665,000.00","623,827.29"
,,,,,
Municipal Bonds,,,,,
CALIFORNIA EARTHQUAKE AUTH REV,1.33,07/01/22,"525,000.00","525,000.00","525,000.00"
LOUISIANA LOC GOVT ENVIRONMENT,3.62,02/01/29,"639,000.00","639,000.00","638,816.22"
NEW YORK ST URBAN DEV CORP REV,0.72,03/15/23,"500,000.00","500,000.00","491,875.25"
PORT AUTH N Y & N J 1.086% DUE,1.09,07/01/23,"830,000.00","830,000.00","814,616.95"
,,,,,
U.S. Agency Bonds,,,,,
FEDERAL HOME LN MTG CORP MULTI,3.32,02/25/23,"574,108.56","598,149.36","573,811.92"
FEDERAL HOME LN MTG CORP POOL ,2.42,07/01/43,"218,452.90","230,194.75","222,143.95"
FEDERAL HOME LN MTG CORP POOL ,2.49,09/01/47,"453,694.08","473,711.39","461,302.48"
FEDERAL HOME LN MTG CORP POOL ,2.12,02/01/47,"690,901.19","725,878.05","698,626.69"
FEDERAL HOME LN MTG CORP POOL ,3.00,06/01/33,"463,094.76","497,465.08","458,999.52"
FEDERAL NATL MTG ASSN GTD MTG ,1.92,03/01/43,"153,882.51","157,585.32","155,503.83"
FEDERAL NATL MTG ASSN GTD MTG ,2.37,04/01/44,"118,402.58","122,287.66","119,486.76"
FHLMC MULTICLASS SER 19-1 CL M,3.50,07/25/58,"469,445.32","498,650.43","464,629.66"
FHLMC SER 4690 CL VK 3.5% DUE,3.50,09/15/28,"724,667.51","730,357.28","725,829.73"
FNMA POOL #AL8319 ADJ RT DUE 1,2.53,10/01/42,"43,997.43","45,509.84","44,923.69"
FNMA POOL #AL8487 1.859% DUE 0,2.48,04/01/46,"32,366.74","33,289.71","32,831.88"
FNMA POOL #AL8797 1.881% DUE 1,2.16,10/01/44,"151,395.21","157,143.49","153,181.63"
FNMA POOL #BM3188 2.162% DUE 0,2.16,04/01/47,"145,676.26","147,451.68","147,694.57"
FNMA POOL #BM3344 VAR RT  12-0,3.16,12/01/47,"76,977.63","77,203.14","78,338.38"
FNMA POOL #BM3845 ADJ RT DUE 0,2.12,09/01/37,"260,459.03","270,877.40","265,614.44"
FNMA POOL #BM4377 2.202% DUE 0,2.42,04/01/38,"758,993.14","810,699.54","780,227.94"
FNMA POOL #BM4576 FLTG 11-01-2,2.64,11/01/47,"182,562.12","179,852.20","181,839.68"
FNMA POOL #BM6241 1.945% DUE 0,2.37,02/01/44,"303,273.35","319,574.28","308,144.93"
FNMA POOL #BM6585 2.192% DUE 0,2.43,04/01/47,"399,015.13","417,469.58","407,907.85"
FNMA POOL #FM0057 2.5% DUE 05-,2.50,05/01/32,"216,346.28","229,056.62","212,201.00"
FNMA POOL #FM2576 3.0% DUE 03-,3.00,03/01/35,"268,968.58","286,199.37","267,423.91"
FNMA POOL #FM4726 3.0% DUE 11-,3.00,11/01/34,"286,626.36","305,257.07","285,694.45"
FNMA POOL #FM4742 4.0% DUE 03-,4.00,03/01/35,"441,090.38","474,999.19","447,223.35"
FNMA SER 16-24 CL LB 2.5% 06-2,2.50,06/25/42,"116,211.60","116,674.64","115,569.87"
FNMA SERIES 2013-96 CLASS YA 3,3.50,09/25/38,"124,219.04","127,271.13","124,556.92"
FREDDIE MAC SEASONED CR RISK T,3.50,08/25/57,"254,932.24","276,183.23","252,546.71"
SMALL BUSINEE ADMIN GTD DEV PA,5.09,10/01/25,"68,287.32","75,681.56","67,967.69"
SMALL BUSINESS ADMIN GTD DEV P,4.95,03/01/25,"27,766.81","30,925.28","27,442.35"
SMALL BUSINESS ADMIN GTD DEV P,3.80,07/01/30,"238,385.99","242,855.73","235,403.85"
SMALL BUSINESS ADMIN GTD DEV P,2.18,10/01/32,"249,609.39","251,949.47","235,772.04"
,,,,,
U.S. Treasury Securities,,,,,
UNITED STATES TREAS NTS .25% D,0.25,06/30/25,"9,023,000.00","8,355,474.81","8,307,504.25"
UNITED STATES TREAS NTS DTD 03,0.50,03/31/25,"24,955,000.00","24,508,991.52","23,290,033.59"
UNITED STATES TREAS NTS WIT 0,0.38,08/15/24,"7,918,000.00","7,819,122.91","7,490,242.40"
,,,,,
Cash & Cash Equivalents,,,,,
CASH ACCOUNT (ADJUSTMENT),,,"-1,033,648.44","-1,033,648.44","-1,033,648.44"
NTC INST FUNDS-GOVT SELECT,0.01,,"2,138,485.11","2,138,485.11","2,138,485.11"
Account Totals - Income Research Short Duration,,,,"219,287,888.49","210,192,446.05"
,,,,,
9-200100-Allspring Short Duration,,,,,
Asset-Backed Securities,,,,,
AMERICREDIT AUTOMOBILE REC TRU,2.05,01/20/26,"1,800,000.00","1,799,899.56","1,781,039.70"
ARI FLEET LEASE TR 2021-A .68%,0.68,03/15/30,"1,500,000.00","1,499,575.05","1,393,773.15"
CARMAX AUTO OWNER TR 2018-4 SE,3.36,09/15/23,"4,739.21","4,739.17","4,744.04"
CARMAX AUTO OWNER TR 2020-4 SE,0.50,08/15/25,"500,000.00","499,889.95","489,302.95"
CARMAX AUTO OWNER TR 2022-2 AS,3.52,02/16/27,"900,000.00","899,863.11","895,011.58"
CARVANA AUTO RECEIVABLES TR 20,0.00,11/10/26,"1,900,000.00","1,899,334.14","1,800,752.55"
CCG RECEIVABLES TR 2020-1 ASSE,0.54,12/14/27,"157,343.03","157,341.97","154,317.18"
CCG RECEIVABLES TR 2021-2 ASSE,0.54,03/14/29,"1,042,002.34","1,041,832.81","1,006,509.97"
DONLEN FLEET LEASE FDG 2 LLC .,0.56,12/11/34,"559,108.80","559,040.48","542,634.55"
FORD CR AUTO LEASE TR 2020-B N,0.62,08/15/23,"179,833.22","179,823.20","179,637.15"
FORD CR AUTO LEASE TR 2022-A N,3.51,05/15/25,"880,000.00","879,893.70","876,312.71"
GM FINL AUTOMOBILE LEASING TR ,3.42,06/20/25,"1,300,000.00","1,299,864.41","1,292,579.99"
NEXTGEAR FLOORPLAN MASTER OWNE,0.85,07/15/26,"1,500,000.00","1,499,670.30","1,401,944.10"
NISSAN AUTO LEASE TR 2022-A AS,3.81,05/15/25,"1,500,000.00","1,499,986.65","1,503,953.01"
OSCAR US FDG XII LLC NT CL A-3,0.70,04/10/25,"1,225,000.00","1,224,729.03","1,174,568.31"
OSCAR US FDG XIV LLC 2.3% 04-1,2.30,04/10/26,"300,000.00","299,985.57","287,383.53"
PVTPL CHESAPEAKE FDG II LLC SR,0.87,08/15/32,"190,610.43","190,601.67","187,837.49"
PVTPL DLLMT 2021-1 LLC DLLMT 2,1.00,07/21/25,"1,200,000.00","1,199,947.44","1,151,551.80"
PVTPL ENTERPRISE FLEET FING 20,0.44,12/21/26,"198,517.74","198,507.87","192,690.29"
PVTPL ENTERPRISE FLEET FING 20,0.53,05/20/27,"363,287.98","363,262.62","348,595.74"
PVTPL ENTERPRISE FLEET FING 20,0.77,08/20/27,"600,000.00","599,889.84","575,554.80"
PVTPL ENTERPRISE FLEET FING LL,2.06,05/20/25,"159,826.00","159,800.63","159,360.88"
PVTPL FOURSIGHT CAP AUTOMOBILE,0.64,07/15/25,"1,291,364.68","1,292,081.89","1,281,104.14"
PVTPL MMAF EQUIP FIN LLC 2019-,2.84,11/13/23,"164,324.63","164,298.01","164,335.82"
PVTPL OSCAR US FDG XIII LLC NT,0.00,09/10/25,"350,000.00","349,927.87","332,876.09"
PVTPL TRANSPORTATION FIN EQUIP,1.85,04/24/23,"202,095.04","202,060.44","201,934.33"
PVTPL VOLVO FINL EQUIP LLC  SR,2.04,11/15/23,"355,296.54","355,643.51","354,973.08"
SANTANDER DRIVE AUTO RECEIVABL,2.98,10/15/26,"1,200,000.00","1,199,850.60","1,182,997.44"
TESLA AUTO LEASE TR 2019-A ASS,2.16,10/20/22,"134,138.65","134,123.06","134,078.17"
TESLA AUTO LEASE TR 2021-A ASS,0.56,03/20/25,"700,000.00","699,977.53","675,326.89"
VOLKSWAGEN AUTO LEASE TR 2015-,3.44,07/21/25,"400,000.00","399,968.16","396,738.00"
VOLKSWAGEN AUTO LEASE TR 2020-,0.39,01/22/24,"750,000.00","749,858.63","743,933.70"
WORLD OMNI AUTOMOBILE LEASE ,3.21,02/18/25,"925,000.00","924,871.89","920,029.33"
,,,,,
Commercial Mortgage Backed Securities,,,,,
COMM 2014-CCRE14 MTG TR SER 20,3.15,02/10/47,"56,502.17","58,409.12","56,206.65"
,,,,,
Corporate Bonds,,,,,
AMERICAN ELEC PWR CO INC 2.031,3.40,03/15/24,"850,000.00","857,607.50","822,280.03"
APTIV CORPORATION 2.396% 02-18,2.40,02/18/25,"1,000,000.00","1,000,000.00","954,999.55"
BANCO SANTANDER S A .701% DUE,0.70,06/30/24,"800,000.00","800,000.00","770,638.43"
BANK AMER CORP .981% DUE,0.98,09/25/25,"200,000.00","200,000.00","185,038.20"
BANK OF NOVA SCOTIA  2.44% DUE,2.44,03/11/24,"1,600,000.00","1,600,000.00","1,566,151.06"
BARCLAYS PLC 1.007% DUE,1.01,12/10/24,"800,000.00","800,665.00","759,267.58"
BLACK HILLS CORP 1.037% DUE 08,1.04,08/23/24,"1,000,000.00","1,000,000.00","934,955.35"
BPCE S A MEDIUM TERM NTS BOOK ,1.63,01/14/25,"1,850,000.00","1,844,339.00","1,743,760.33"
CENTERPOINT ENERGY RES CORP DE,0.70,03/02/23,"900,000.00","899,127.00","881,366.99"
CIGNA CORP NEW SR NT .613% 03-,0.61,03/15/24,"550,000.00","550,000.00","523,766.64"
CITIGROUP INC 4.14% DUE,4.14,05/24/25,"600,000.00","600,000.00","597,548.86"
DAIMLER TRUCKS FIN NORTH AMER ,1.13,12/14/23,"950,000.00","947,853.00","912,085.43"
ENTERGY CORP NEW .9% DUE,0.90,09/15/25,"1,025,000.00","1,020,961.50","922,660.23"
ENTERPRISE PRODS OPER LLC 3.35,3.35,03/15/23,"460,000.00","471,578.20","458,814.84"
FIDELITY NATL INFORMATION SVCS,0.38,03/01/23,"650,000.00","649,486.50","636,508.03"
GENUINE PARTS CO 1.75% 02-01-2,1.75,02/01/25,"600,000.00","598,326.00","565,301.66"
GILEAD SCIENCES INC .75% DUE,0.75,09/29/23,"355,000.00","354,875.75","343,516.02"
HSBC HLDGS PLC .732% DUE,0.73,08/17/24,"1,500,000.00","1,500,000.00","1,438,050.11"
JPMORGAN CHASE & CO 3.845% DUE,3.85,06/14/25,"1,600,000.00","1,600,000.00","1,584,230.18"
KEURIG DR PEPPER INC 0.75% 03-,0.75,03/15/24,"850,000.00","849,974.50","808,287.42"
MICROCHIP TECHNOLOGY INC .972%,0.97,02/15/24,"1,000,000.00","993,699.00","949,465.26"
MITSUBISHI UFJ FINL GROUP INC ,0.85,09/15/24,"300,000.00","300,000.00","288,812.03"
MITSUBISHI UFJ FINL GROUP INC ,0.96,10/11/25,"1,075,000.00","1,075,000.00","995,759.15"
MIZUHO FINL GROUP INC 1.241% D,1.24,07/10/24,"1,500,000.00","1,500,000.00","1,458,200.61"
MORGAN STANLEY .79% DUE 05-30-,0.79,05/30/25,"1,000,000.00","1,000,000.00","930,916.11"
PHILLIPS 66 .9% DUE,0.90,02/15/24,"600,000.00","599,352.00","571,339.11"
PIONEER NAT RES CO .55% DUE 05,0.55,05/15/23,"250,000.00","249,985.00","243,659.24"
PVTPL 7-ELEVEN INC SR NT .625%,0.63,02/10/23,"900,000.00","899,253.00","882,518.34"
PVTPL ATHENE GLOBAL FDG MEDIUM,2.80,05/26/23,"500,000.00","519,770.00","494,713.93"
PVTPL BANQUE FEDERATIVE DU CR ,0.65,02/27/24,"550,000.00","549,224.50","522,274.18"
PVTPL BMW US CAP LLC .75% DUE,0.75,08/12/24,"800,000.00","799,928.00","752,473.38"
PVTPL BRIGHTHOUSE 2023 FABN NE,1.20,12/15/23,"700,000.00","699,657.00","673,341.40"
PVTPL BRIGHTHOUSE FINL GLOBAL ,0.60,06/28/23,"750,000.00","749,880.00","726,087.53"
PVTPL BRIGHTHOUSE FINL GLOBAL ,1.75,01/13/25,"300,000.00","299,616.00","278,946.89"
PVTPL DANSKE BK A/S MEDIUM TER,1.23,06/22/24,"1,000,000.00","1,000,000.00","940,704.93"
PVTPL EQUITABLE FINL LIFE 1.0%,1.00,01/09/26,"1,500,000.00","1,498,035.00","1,334,439.93"
PVTPL FEDERATION DES CAISSES D,0.70,05/21/24,"1,500,000.00","1,499,730.00","1,409,715.27"
PVTPL GA GLOBAL FDG TR MEDIUM ,3.85,04/11/25,"2,000,000.00","1,999,440.00","1,961,951.92"
PVTPL HARVEST OPERATIONS CORP ,1.00,04/26/24,"590,000.00","589,097.30","561,862.30"
PVTPL HYUNDAI CAP AMER .8% DUE,0.80,01/08/24,"1,000,000.00","998,730.00","949,743.62"
PVTPL JACKSON FINANCIAL INC 1.,1.13,11/22/23,"550,000.00","549,664.50","528,575.40"
PVTPL JACKSON NATIONAL LIFE GL,1.75,01/12/25,"1,000,000.00","999,830.00","943,063.83"
PVTPL MAGALLANES INC 3.428% 03,3.55,03/15/24,"400,000.00","400,000.00","392,132.79"
PVTPL NATIONWIDE BLDG SOC MEDI,1.00,08/28/25,"1,100,000.00","1,098,449.00","994,191.00"
PVTPL NORTHWESTERN MUT GLOBAL ,0.80,01/14/26,"900,000.00","898,416.00","808,889.49"
PVTPL PRICOA GLOBAL FDG I ,0.80,09/01/25,"1,500,000.00","1,496,850.00","1,369,095.99"
PVTPL SIEMENS FINANCIERINGSMAA,0.65,03/11/24,"1,600,000.00","1,599,616.00","1,529,051.97"
SOUTHERN CALIF EDISON CO 1ST &,0.70,04/03/23,"1,000,000.00","999,070.00","977,251.04"
SOUTHERN CO .6% DUE 02-26-2024,0.60,02/26/24,"500,000.00","499,955.00","473,202.17"
SUMITOMO MITSUI TR BK LT 25/03,0.85,03/25/24,"1,500,000.00","1,499,070.00","1,422,248.54"
TORONTO-DOMINION BANK 2.35%á,2.35,03/08/24,"1,400,000.00","1,398,810.00","1,370,999.06"
UBS AG LONDON BRH NT 144A .7%,0.70,08/09/24,"525,000.00","524,784.75","491,354.55"
UBS GROUP AG 1.008% DUE,1.01,07/30/24,"500,000.00","500,000.00","484,147.59"
VERIZON COMMUNICATIONS INC .75,0.75,03/22/24,"1,000,000.00","999,940.00","953,888.18"
VMWARE INC .6% 08-15-2023,0.60,08/15/23,"1,000,000.00","998,950.00","966,468.00"
,,,,,
,,,,,
Municipal Bonds,,,,,
GOLDEN ST TOB SECURITIZATION C,0.00,06/01/25,"1,350,000.00","1,350,000.00","1,273,611.60"
MARYLAND ST DEPT TRANSN SPL TR,0.53,08/01/24,"1,000,000.00","1,000,000.00","938,810.90"
NEW JERSEY ST TPK AUTH TPK REV,1.05,01/01/26,"1,000,000.00","1,000,000.00","917,037.20"
,,,,,
U.S. Agency Bonds,,,,,
FEDERAL NATL MTG ASSN GTD MTG ,5.00,09/01/26,"142,260.93","147,729.07","146,063.50"
FHLMC #SB0071 2.5% 05-01-2030,2.50,05/01/30,"596,642.15","607,456.28","588,201.98"
FHLMC MULTICLASS SER 3778 CL L,3.50,12/15/25,"524,931.43","552,654.38","527,281.92"
FNMA POOL #FM1522 2.5% DUE 01-,2.50,01/01/27,"434,363.14","438,706.77","429,175.13"
FNMA POOL #FM2409 2.5% DUE 06-,2.50,06/01/29,"1,323,899.34","1,349,343.03","1,303,575.08"
FNMA POOL #FM2479 2.5% DUE 07-,2.50,07/01/33,"963,975.04","981,296.47","950,361.07"
FNMA POOL #FM4174 3.0% DUE 11-,3.00,11/01/32,"1,313,691.30","1,393,128.58","1,309,429.75"
FNMA POOL #FM4794 3.0% DUE 06-,3.00,06/01/29,"599,554.87","636,418.14","596,115.32"
FNMA POOL #FM5050 2.5% DUE 02-,2.50,02/01/35,"592,646.71","622,464.24","580,654.18"
GNMA 2022-H06 REMIC PASSTHRU C,3.69,07/20/67,"2,241,380.15","2,301,967.46","2,225,890.87"
GNMA FIXED 2.2% SERIES 19-H18,2.20,11/20/69,"1,424,740.38","1,429,804.88","1,380,658.06"
GNMA REMIC SER 2019-H10 CL BA,2.50,05/20/69,"1,289,282.73","1,296,333.51","1,265,282.86"
GNMA SER 2019-H12 CLS JA,2.50,07/20/69,"1,302,222.67","1,309,089.84","1,274,981.08"
,,,,,
U.S. Treasury Securities,,,,,
UNITED STATES OF AMER TREAS NO,0.38,09/15/24,"800,000.00","795,750.00","755,062.50"
UNITED STATES OF AMER TREAS NO,0.88,01/31/24,"3,400,000.00","3,377,858.13","3,290,031.25"
UNITED STATES OF AMER TREAS NO,2.75,05/15/25,"7,400,000.00","7,392,929.69","7,343,343.75"
UNITED STATES TREAS NTS DTD 06,3.00,06/30/24,"1,000,000.00","1,000,312.50","1,000,507.81"
UNITED STATES TREAS NTS WIT 0,0.38,08/15/24,"1,800,000.00","1,795,992.18","1,702,757.81"
,,,,,
Cash & Cash Equivalents,,,,,
CASH ACCOUNT (ADJUSTMENT),,,"-3,785.63","-3,785.63","-3,785.63"
NTC INST FUNDS-GOVT SELECT,0.01,,"72,553.51","72,553.51","72,553.51"
Account Totals - Allspring Short Duration,,,,"105,765,148.91","101,752,902.24"
,,,,,
,,,,,
,,,,,
9-200100-Northern Trust UI Short Duration,,,,,
Asset Backed Securities,,,,,
AMERICAN EXPRESS CR ACCOUNT MA,2.21,03/15/27,"400,000.00","399,979.44","386,460.44"
CARMAX AUTO OWNER TR SR 20-1 C,1.89,12/16/24,"82,128.21","82,112.09","81,490.42"
CNH EQUIP TR SER 19-B CL A3 2.,2.52,08/15/24,"54,895.49","54,883.39","54,845.95"
CNH EQUIP TR SR 19-A CL A3 3.0,3.01,04/15/24,"54,985.52","54,973.43","55,038.06"
FORD CR AUTO LEASE TR 2022-A N,2.78,10/15/24,"100,000.00","99,998.14","99,358.89"
FORD CR AUTO OWNER TR 2020-B A,0.56,10/15/24,"375,741.28","375,689.46","371,398.05"
GM FINL CONSUMER AUTOMOBILE RE,1.84,09/16/24,"69,155.64","69,139.36","68,946.63"
PVTPL TESLA AUTO LEASE TR 2021,0.36,03/20/25,"118,858.01","118,856.80","117,008.62"
TOYOTA AUTO REC 2020-A OWNER T,1.66,05/15/24,"72,486.52","72,481.29","72,168.49"
VERIZON OWNER TR 2020-A NT CL,1.85,07/22/24,"190,729.16","190,706.83","190,140.74"
WORLD OMNI AUTOMOBILE LEASE SE,1.70,01/17/23,"30,622.27","30,619.41","30,604.19"
,,,,,
Commercial Mortgage Backed Securities,,,,,
CMO CITIGROUP COML MTG TR 2016,3.21,05/10/49,"435,000.00","474,744.73","418,271.68"
CMO JPMBB COML MTG SECS TR 201,3.23,10/15/48,"930,000.00","998,151.56","904,518.56"
CMO MORGAN STANLEY BK AMER MER,4.21,07/15/46,"805,000.00","843,489.06","802,093.06"
CMO MORGAN STANLEY BK OF AMER ,4.26,10/15/46,"425,000.00","445,785.16","422,972.45"
CMO WELLS FARGO COML MTG TR 20,3.64,01/15/59,"430,000.00","475,821.88","421,334.81"
GS MTG SECS TR 2016-GS2 COML M,3.05,05/10/49,"625,000.00","676,440.43","598,147.19"
WELLS FARGO COML MTG TR 2015-C,3.70,11/15/48,"600,000.00","662,390.62","589,072.62"
WELLS FARGO COML MTG TR 2015-N,3.72,12/15/48,"885,000.00","998,010.35","870,572.91"
WELLS FARGO COML MTG TR 2016-C,3.43,03/15/59,"430,000.00","472,344.92","418,402.04"
WELLS FARGO COML MTG TR SER 20,3.45,02/15/48,"625,000.00","676,611.33","612,344.31"
,,,,,
Corporate Bonds,,,,,
3.75% DUE 04-15-2023/04-02-201,3.75,04/15/23,"790,000.00","831,312.00","790,860.52"
AERCAP IRELAND CAP/GLOBA 1.65%,1.65,10/29/24,"250,000.00","249,837.50","230,832.95"
AIR LEASE CORP MED TERM NTS BO,2.25,01/15/23,"170,000.00","168,786.20","168,273.09"
AIR LEASE CORP MED TERM NTS BO,0.80,08/18/24,"160,000.00","158,920.00","146,510.45"
ALLY FINL INC 1.45%,1.45,10/02/23,"220,000.00","223,731.20","212,656.33"
AMEREN CORP 2.5% DUE,2.50,09/15/24,"120,000.00","119,960.40","116,303.37"
AMEREN ILL CO .375% 06-15-2023,0.38,06/15/23,"100,000.00","99,975.00","96,866.10"
AMERICAN ELEC PWR CO INC 1.0%,1.00,11/01/25,"200,000.00","199,538.00","179,828.51"
AMERICAN EXPRESS CO 2.5% DUE,2.50,07/30/24,"100,000.00","99,678.00","97,293.89"
AMERICAN HONDA FIN CORP MED TE,1.95,05/10/23,"160,000.00","159,940.80","158,324.68"
AMERICAN HONDA FIN CORP MED TE,0.88,07/07/23,"270,000.00","269,913.60","263,366.56"
AMERICAN HONDA FIN CORP MED TE,0.55,07/12/24,"200,000.00","199,868.00","187,838.06"
AMERICAN TOWER CORP NEW 1.3% D,1.30,09/15/25,"220,000.00","219,381.80","199,171.10"
AMERICAN TOWER CORP NEW 2.4% D,2.40,03/15/25,"90,000.00","89,914.50","85,052.95"
AMPHENOL CORP NEW 2.05% DUE,2.05,03/01/25,"180,000.00","179,692.20","171,951.37"
ANALOG DEVICES INC FLTG RT ,0.93,10/01/24,"40,000.00","40,000.00","39,035.45"
ANTHEM INC 2.375% DUE,2.38,01/15/25,"130,000.00","129,885.60","125,153.54"
AON CORP FIXED 2.2% DUE 11-15-,2.20,11/15/22,"110,000.00","109,978.00","109,756.12"
